"범죄별(1)","범죄별(2)","시점",발생지역별(1),데이터
"인구(B) (명)","소계","2019",대구,2438031
"인구(B) (명)","소계","2019",인천,2957026
"인구(B) (명)","소계","2019",광주,1456468
"인구(B) (명)","소계","2019",대전,1474870
"인구(B) (명)","소계","2019",울산,1148019
"인구(B) (명)","소계","2019",세종,340575
"인구(B) (명)","소계","2019",경기,13239666
"인구(B) (명)","소계","2019",강원,1541502
"인구(B) (명)","소계","2019",충북,1600007
"인구(B) (명)","소계","2019",충남,2123709
"인구(B) (명)","소계","2019",전북,1818917
"인구(B) (명)","소계","2019",전남,1868745
"인구(B) (명)","소계","2019",경북,2665836
"인구(B) (명)","소계","2019",경남,3362553
"인구(B) (명)","소계","2019",제주,670989
"인구(B) (명)","소계","2020",계,51829023
"인구(B) (명)","소계","2020",서울,9668465
"인구(B) (명)","소계","2020",부산,3391946
"인구(B) (명)","소계","2020",대구,2418346
"인구(B) (명)","소계","2020",인천,2942828
"인구(B) (명)","소계","2020",광주,1450062
"인구(B) (명)","소계","2020",대전,1463882
"인구(B) (명)","소계","2020",울산,1136017
"인구(B) (명)","소계","2020",세종,355831
"인구(B) (명)","소계","2020",경기,13427014
"인구(B) (명)","소계","2020",강원,1542840
"인구(B) (명)","소계","2020",충북,1600837
"인구(B) (명)","소계","2020",충남,2121029
"인구(B) (명)","소계","2020",전북,1804104
"인구(B) (명)","소계","2020",전남,1851549
"인구(B) (명)","소계","2020",경북,2639422
"인구(B) (명)","소계","2020",경남,3340216
"인구(B) (명)","소계","2020",제주,674635
"인구(B) (명)","소계","2021",계,51638809
"인구(B) (명)","소계","2021",서울,9509458
"인구(B) (명)","소계","2021",부산,3350380
"인구(B) (명)","소계","2021",대구,2385412
"인구(B) (명)","소계","2021",인천,2948375
"인구(B) (명)","소계","2021",광주,1441611
"인구(B) (명)","소계","2021",대전,1452251
"인구(B) (명)","소계","2021",울산,1121592
"인구(B) (명)","소계","2021",세종,371895
"인구(B) (명)","소계","2021",경기,13565450
"인구(B) (명)","소계","2021",강원,1538492
"인구(B) (명)","소계","2021",충북,1597427
"인구(B) (명)","소계","2021",충남,2119257
"인구(B) (명)","소계","2021",전북,1786855
"인구(B) (명)","소계","2021",전남,1832803
"인구(B) (명)","소계","2021",경북,2626609
"인구(B) (명)","소계","2021",경남,3314183
"인구(B) (명)","소계","2021",제주,676759
"인구(B) (명)","소계","2022",계,51439038
"인구(B) (명)","소계","2022",서울,9428372
"인구(B) (명)","소계","2022",부산,3317812
"인구(B) (명)","소계","2022",대구,2363691
"인구(B) (명)","소계","2022",인천,2967314
"인구(B) (명)","소계","2022",광주,1431050
"인구(B) (명)","소계","2022",대전,1446072
"인구(B) (명)","소계","2022",울산,1110663
"인구(B) (명)","소계","2022",세종,383591
"인구(B) (명)","소계","2022",경기,13589432
"인구(B) (명)","소계","2022",강원,1536498
"인구(B) (명)","소계","2022",충북,1595058
"인구(B) (명)","소계","2022",충남,2123037
"인구(B) (명)","소계","2022",전북,1769607
"인구(B) (명)","소계","2022",전남,1817697
"인구(B) (명)","소계","2022",경북,2600492
"인구(B) (명)","소계","2022",경남,3280493
"인구(B) (명)","소계","2022",제주,678159
"A/Bⅹ100,000 (건/10만명)","소계","2014",계,3768
"A/Bⅹ100,000 (건/10만명)","소계","2014",서울,3854
"A/Bⅹ100,000 (건/10만명)","소계","2014",부산,4204
"A/Bⅹ100,000 (건/10만명)","소계","2014",대구,4150
"A/Bⅹ100,000 (건/10만명)","소계","2014",인천,3578
"A/Bⅹ100,000 (건/10만명)","소계","2014",광주,4823
"A/Bⅹ100,000 (건/10만명)","소계","2014",대전,3279
"A/Bⅹ100,000 (건/10만명)","소계","2014",울산,3900
"A/Bⅹ100,000 (건/10만명)","소계","2014",세종,2381
"A/Bⅹ100,000 (건/10만명)","소계","2014",경기,3584
"A/Bⅹ100,000 (건/10만명)","소계","2014",강원,3805
